Gmt time,Open,High,Low,Close,Volume
29.12.2020 00:00:00.000,1.28427,1.28432,1.28422,1.28423,29
29.12.2020 00:01:00.000,1.28422,1.28433,1.28421,1.28423,54.87
29.12.2020 00:02:00.000,1.28422,1.28423,1.28407,1.28417,80.62
29.12.2020 00:03:00.000,1.28417,1.28419,1.28407,1.28417,109.78
29.12.2020 00:04:00.000,1.28419,1.28433,1.28417,1.28432,40.35
29.12.2020 00:05:00.000,1.28431,1.28431,1.28420,1.28420,39.74
29.12.2020 00:06:00.000,1.28420,1.28426,1.28419,1.28421,26.56
29.12.2020 00:07:00.000,1.28418,1.28421,1.28410,1.28410,50.98
29.12.2020 00:08:00.000,1.28410,1.28410,1.28388,1.28395,66.94
29.12.2020 00:09:00.000,1.28399,1.28415,1.28399,1.28407,20
29.12.2020 00:10:00.000,1.28404,1.28412,1.28404,1.28411,42.59
29.12.2020 00:11:00.000,1.28407,1.28409,1.28404,1.28405,26.67
29.12.2020 00:12:00.000,1.28404,1.28413,1.28404,1.28405,48.55
29.12.2020 00:13:00.000,1.28406,1.28410,1.28396,1.28410,50.61
29.12.2020 00:14:00.000,1.28408,1.28416,1.28406,1.28409,16.31
29.12.2020 00:15:00.000,1.28408,1.28408,1.28398,1.28403,21
29.12.2020 00:16:00.000,1.28409,1.28420,1.28405,1.28406,31.64
29.12.2020 00:17:00.000,1.28407,1.28408,1.28397,1.28399,21
29.12.2020 00:18:00.000,1.28398,1.28401,1.28392,1.28400,28.61
29.12.2020 00:19:00.000,1.28400,1.28421,1.28399,1.28421,20.5
29.12.2020 00:20:00.000,1.28414,1.28422,1.28414,1.28421,18.1
29.12.2020 00:21:00.000,1.28415,1.28419,1.28413,1.28414,16
29.12.2020 00:22:00.000,1.28413,1.28414,1.28411,1.28413,25.24
29.12.2020 00:23:00.000,1.28409,1.28418,1.28402,1.28415,33.37
29.12.2020 00:24:00.000,1.28414,1.28422,1.28408,1.28421,35.45
29.12.2020 00:25:00.000,1.28421,1.28422,1.28421,1.28421,4
29.12.2020 00:26:00.000,1.28418,1.28423,1.28418,1.28421,44.32
29.12.2020 00:27:00.000,1.28421,1.28423,1.28419,1.28419,10.9
29.12.2020 00:28:00.000,1.28418,1.28418,1.28404,1.28407,25.95
29.12.2020 00:29:00.000,1.28406,1.28406,1.28404,1.28405,19.37
29.12.2020 00:30:00.000,1.28404,1.28406,1.28395,1.28395,17.91
29.12.2020 00:31:00.000,1.28396,1.28397,1.28395,1.28396,10.87
29.12.2020 00:32:00.000,1.28397,1.28397,1.28388,1.28390,45.27
29.12.2020 00:33:00.000,1.28389,1.28392,1.28378,1.28381,29.56
29.12.2020 00:34:00.000,1.28379,1.28384,1.28370,1.28370,31.26
29.12.2020 00:35:00.000,1.28365,1.28370,1.28361,1.28362,33.54
29.12.2020 00:36:00.000,1.28362,1.28379,1.28362,1.28379,17.57
29.12.2020 00:37:00.000,1.28376,1.28376,1.28369,1.28369,12.6
29.12.2020 00:38:00.000,1.28370,1.28370,1.28360,1.28370,39.91
29.12.2020 00:39:00.000,1.28370,1.28381,1.28368,1.28372,31.2
29.12.2020 00:40:00.000,1.28373,1.28374,1.28370,1.28374,18.95
29.12.2020 00:41:00.000,1.28373,1.28373,1.28372,1.28373,3.3
29.12.2020 00:42:00.000,1.28376,1.28387,1.28376,1.28387,13.2
29.12.2020 00:43:00.000,1.28383,1.28386,1.28377,1.28378,31.02
29.12.2020 00:44:00.000,1.28378,1.28391,1.28378,1.28389,66.76
29.12.2020 00:45:00.000,1.28393,1.28396,1.28387,1.28389,27.53
29.12.2020 00:46:00.000,1.28393,1.28396,1.28389,1.28394,40.29
29.12.2020 00:47:00.000,1.28395,1.28404,1.28394,1.28404,22.08
29.12.2020 00:48:00.000,1.28403,1.28404,1.28398,1.28403,8.7
29.12.2020 00:49:00.000,1.28399,1.28399,1.28394,1.28396,17.14
29.12.2020 00:50:00.000,1.28402,1.28409,1.28402,1.28405,25.89
29.12.2020 00:51:00.000,1.28405,1.28411,1.28405,1.28411,5.4
29.12.2020 00:52:00.000,1.28412,1.28418,1.28412,1.28418,12.94
29.12.2020 00:53:00.000,1.28418,1.28423,1.28404,1.28411,44.2
29.12.2020 00:54:00.000,1.28412,1.28425,1.28394,1.28394,85.62
29.12.2020 00:55:00.000,1.28393,1.28420,1.28393,1.28417,59.29
29.12.2020 00:56:00.000,1.28418,1.28419,1.28411,1.28418,35.75
29.12.2020 00:57:00.000,1.28417,1.28421,1.28417,1.28420,15.1
29.12.2020 00:58:00.000,1.28421,1.28429,1.28419,1.28427,28.5
29.12.2020 00:59:00.000,1.28428,1.28430,1.28427,1.28428,14.17
29.12.2020 01:00:00.000,1.28428,1.28429,1.28408,1.28414,28.05
29.12.2020 01:01:00.000,1.28413,1.28413,1.28400,1.28405,51.36
29.12.2020 01:02:00.000,1.28405,1.28415,1.28402,1.28406,56.3
29.12.2020 01:03:00.000,1.28405,1.28419,1.28404,1.28413,18.49
29.12.2020 01:04:00.000,1.28410,1.28410,1.28402,1.28403,27.55
29.12.2020 01:05:00.000,1.28406,1.28408,1.28403,1.28405,20.85
29.12.2020 01:06:00.000,1.28404,1.28405,1.28397,1.28398,25.07
29.12.2020 01:07:00.000,1.28396,1.28403,1.28393,1.28396,44.53
29.12.2020 01:08:00.000,1.28398,1.28400,1.28387,1.28387,21.31
29.12.2020 01:09:00.000,1.28389,1.28389,1.28384,1.28384,5.57
29.12.2020 01:10:00.000,1.28383,1.28383,1.28360,1.28360,46.42
29.12.2020 01:11:00.000,1.28360,1.28384,1.28360,1.28384,27.84
29.12.2020 01:12:00.000,1.28383,1.28386,1.28376,1.28381,24.88
29.12.2020 01:13:00.000,1.28384,1.28391,1.28384,1.28388,10.57
29.12.2020 01:14:00.000,1.28389,1.28389,1.28388,1.28389,9.5
29.12.2020 01:15:00.000,1.28388,1.28393,1.28388,1.28388,22.81
29.12.2020 01:16:00.000,1.28381,1.28393,1.28380,1.28387,27.74
29.12.2020 01:17:00.000,1.28390,1.28392,1.28388,1.28389,20.15
29.12.2020 01:18:00.000,1.28388,1.28388,1.28380,1.28387,25.8
